sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
72,10.800468091550691,11.58991425800252,221.6221,226.74490918687093,228.59523080330865,1.850321616437725,-6.973130803308663,oscillation,0.05
73,11.282514557507435,11.603516367588185,221.6221,227.87474049645346,228.6271117325794,0.7523712361259527,-7.005011732579419,oscillation,0.05
74,11.12383272164473,11.611122036044032,221.6221,227.50281845349468,228.64493806874935,1.1421196152546713,-7.0228380687493654,oscillation,0.05
75,11.560332963842967,11.612647376269926,221.6221,228.52589750314002,228.64851319535364,0.12261569221362834,-7.026413195353655,oscillation,0.05
76,10.880372641218882,11.60807556444966,221.6221,226.93219126104617,228.63779768035505,1.7056064193088787,-7.015697680355061,oscillation,0.05
77,11.360462933205055,11.59745702561006,221.6221,228.05743764623872,228.61290971106087,0.5554720648221405,-6.9908097110608765,oscillation,0.05
78,10.968307137259313,11.58090887745565,221.6221,227.13829410348,228.57412379057223,1.4358296870922231,-6.952023790572241,oscillation,0.05
79,11.161435556446799,11.558613638613073,221.6221,227.59095282038413,228.52186771013623,0.9309148897521027,-6.899767710136246,oscillation,0.05
80,10.968335880000984,11.530817215532778,221.6221,227.13836147136192,228.456717830802,1.318356359440088,-6.834617830802017,oscillation,0.05
81,10.835891477147177,11.497826190251548,221.6221,226.82793531187087,228.37939272641825,1.5514574145473716,-6.757292726418257,oscillation,0.05
82,10.940392218450949,11.460004438930605,221.6221,227.0728664912029,228.29074525808574,1.2178787668828477,-6.668645258085746,oscillation,0.05
83,11.342869330808364,11.417769118465326,221.6221,228.0162013666682,228.19175316748465,0.17555180081643584,-6.56965316748466,oscillation,0.05
84,10.913839935848618,11.371586065432414,221.6221,227.01063265620218,228.08350829282284,1.0728756366206653,-6.461408292822853,oscillation,0.05
85,10.909754686088323,11.321964658122116,221.6221,227.0010575562635,227.96720452635196,0.9661469700884595,-6.3451045263519745,oscillation,0.05
86,11.052285629266217,11.269452198324927,221.6221,227.33512477500585,227.84412464627377,0.5089998712679176,-6.2220246462737805,oscillation,0.05
87,11.192907893512894,11.214627874839154,221.6221,227.66471838929556,227.71562616827327,0.05090777897771659,-6.093526168273286,oscillation,0.05
88,10.94448166247361,11.15809637527913,221.6221,227.08245142174775,227.5831263727323,0.5006749509845463,-5.961026372732306,oscillation,0.05
89,11.071348487106151,11.100481216642974,221.6221,227.37980472841014,227.44808667276357,0.06828194435342994,-5.825986672763577,oscillation,0.05
90,11.141533249464377,11.042417868200712,221.6221,227.5443053472677,227.3119964954837,-0.23230885178401195,-5.689896495483708,oscillation,0.05
91,10.418977318415767,10.984546742554224,221.6221,226.00788761772827,227.17635685429997,1.1684692365716955,-5.554256854299979,oscillation,0.05
92,11.171332423742703,10.927506132174463,221.6221,227.61414931974133,227.0426637934106,-0.5714855263307186,-5.420563793410622,oscillation,0.05
93,11.500330783569344,10.871925169322765,221.6221,228.3852630483645,226.91239188710784,-1.4728711612566485,-5.2902918871078555,oscillation,0.05
94,11.088419712186406,10.818416887005142,221.6221,227.41981664831968,226.7869779758899,-0.6328386724297843,-5.164877975889908,oscillation,0.05
95,11.383232223034687,10.767571457494132,221.6221,228.1108048180016,226.6678053187548,-1.4429994992468096,-5.045705318754813,oscillation,0.05
96,11.594559654719593,10.71994968299423,221.6221,228.60611878823778,226.5561883364768,-2.0499304517609858,-4.934088336476805,oscillation,0.05
97,11.028200500414926,10.676076810245966,221.6221,227.27867351025566,226.45335811413725,-0.8253153961184125,-4.831258114137256,oscillation,0.05
98,11.38209384012648,10.63643673729075,221.6221,228.10813665063017,226.36044882280953,-1.7476878278206414,-4.738348822809542,oscillation,0.05
99,11.173230170652454,10.601466676293239,221.6221,227.61859730147705,226.27848521016386,-1.3401120913131876,-4.656385210163876,oscillation,0.05
100,11.21473784999915,10.571552331287945,221.6221,227.71588393051798,226.2321079008163,-1.483776029701687,-4.610007900816299,oscillation,0.05
101,11.282733383954794,10.547023644037312,221.6221,227.87525338678466,226.19606117799054,-1.6791922087941202,-4.5739611779905545,oscillation,0.05
102,11.10019915191814,10.528151154922565,221.6221,227.44742556314054,226.16832665729686,-1.2790989058436821,-4.54622665729687,oscillation,0.05
103,10.750091684222843,10.515143019005066,221.6221,226.62683583443936,226.14921023801594,-0.4776255964234224,-4.5271102380159505,oscillation,0.05
104,10.943260048874304,10.50814271016967,221.6221,227.0795881764173,226.1389227656491,-0.9406654107681902,-4.516822765649124,oscillation,0.05
105,11.198645842538026,10.507227438672338,221.6221,227.67816712280825,226.13757770638694,-1.5405894164213123,-4.515477706386946,oscillation,0.05
106,10.939921715078935,10.512407299545767,221.6221,227.07176371485554,226.1451898956276,-0.92657381922794,-4.523089895627606,oscillation,0.05
107,10.889566837013431,10.523625161255723,221.6221,226.9537408231916,226.16167537435,-0.7920654488415835,-4.539575374350022,oscillation,0.05
108,11.012901310918371,10.540757295836146,221.6221,227.24281492705842,226.18685231514257,-1.0559626119158452,-4.564752315142584,oscillation,0.05
109,11.299554307474958,10.563614743552943,221.6221,227.91467864428859,226.22044302767972,-1.6942356166088643,-4.598343027679732,oscillation,0.05
110,11.038105552402076,10.591945397044801,221.6221,227.3018891930758,226.26207702151936,-1.0398121715564344,-4.639977021519371,oscillation,0.05
111,11.053778034575785,10.62543678195393,221.6221,227.33862270801535,226.33466688098196,-1.0039558270333941,-4.712566880981967,oscillation,0.05
112,11.045425652808545,10.663719503377596,221.6221,227.31904620845205,226.42439478137152,-0.8946514270805324,-4.802294781371529,oscillation,0.05
113,11.183168270666302,10.706371320127653,221.6221,227.64189044300258,226.52436306529881,-1.117527377703766,-4.9022630652988255,oscillation,0.05
114,11.202526852789806,10.75292180186082,221.6221,227.68726352160996,226.63346912758237,-1.053794394027591,-5.011369127582384,oscillation,0.05
115,11.240674309036542,10.802857517713644,221.6221,227.77667438444644,226.75050957745884,-1.0261648069875946,-5.128409577458854,oscillation,0.05
116,11.17967322916248,10.855627699213866,221.6221,227.63369868640183,226.87419351144013,-0.7595051749617028,-5.252093511440137,oscillation,0.05
117,10.556602560234372,10.91065031500878,221.6221,226.21013810488046,227.00315675139825,0.793018646517794,-5.381056751398262,oscillation,0.05
118,11.277072931790602,10.967318490409125,221.6221,227.86198629215136,227.13597689083684,-0.7260094013145135,-5.513876890836855,oscillation,0.05
119,10.967704744199448,11.025007200943772,221.6221,227.1368822011267,227.27118898339336,0.1343067822666626,-5.649088983393369,oscillation,0.05
120,11.009617708245399,11.083080166098362,221.6221,227.2351187455281,227.40730170053928,0.17218295501118064,-5.7852017005392895,oscillation,0.05
121,11.337413546718748,11.140896867203,221.6221,228.00341397765465,227.54281378026218,-0.46060019739246627,-5.92071378026219,oscillation,0.05
122,11.209074315571542,11.19781961206494,221.6221,227.70260961160653,227.67623058530955,-0.02637902629697919,-6.054130585309565,oscillation,0.05
123,10.989489259182909,11.25322056842646,221.6221,227.18794123553636,227.80608058836657,0.6181393528302124,-6.18398058836658,oscillation,0.05
124,11.39789881837785,11.306488688672124,221.6221,228.14518071284573,227.9309316023381,-0.2142491105076374,-6.308831602338103,oscillation,0.05
125,11.220653407530275,11.35703644940896,221.6221,227.72974894682716,228.04940657672984,0.31965762990267876,-6.427306576729848,oscillation,0.05
126,10.963258353353549,11.404306331585092,221.6221,227.12646065061824,228.1601987858935,1.0337381352752573,-6.53809878589351,oscillation,0.05
127,10.911159631317654,11.447776969673944,221.6221,227.00435049837682,228.26208624162405,1.257735743247224,-6.639986241624058,oscillation,0.05
128,11.072507617870363,11.486968902101381,221.6221,227.38252152507152,228.3539451711398,0.9714236460682741,-6.73184517113981,oscillation,0.05
129,10.981803397279613,11.521449859491078,221.6221,227.169926940167,228.43476241178877,1.2648354716217796,-6.812662411788779,oscillation,0.05
130,10.465350101674735,11.550839532401193,221.6221,226.07603585769346,228.50364658577882,2.4276107280853694,-6.881546585778835,oscillation,0.05
131,10.974426834742383,11.574813765966368,221.6221,227.15263758758346,228.5598379316719,1.4072003440884373,-6.937737931671904,oscillation,0.05
132,10.601909494453293,11.593108135179994,221.6221,226.2795230972909,228.60271668421206,2.3231935869211497,-6.980616684212066,oscillation,0.05
133,10.910036864362345,11.605520861383033,221.6221,227.00171893202577,228.63180991005635,1.6300909780305801,-7.009709910056358,oscillation,0.05
134,11.144586452211893,11.611915037791821,221.6221,227.55146151228968,228.64679672401695,1.0953352117272743,-7.024696724016962,oscillation,0.05
135,10.577086128219905,11.612220139518268,221.6221,226.24024022531233,228.64751182828064,2.407271602968308,-7.025411828280653,oscillation,0.05
136,10.953767685254135,11.606432801427646,221.6221,227.10421621004082,228.63394733556947,1.5297311255286559,-7.011847335569485,oscillation,0.05
137,10.54115744575613,11.594616855254499,221.6221,226.18744036509042,228.60625285613327,2.418812491042843,-6.984152856133278,oscillation,0.05
138,11.059395761700355,11.576902625567344,221.6221,227.35178966274316,228.56473384761625,1.2129441848730949,-6.942633847616264,oscillation,0.05
139,11.226654858974822,11.553485492347333,221.6221,227.7438152832155,228.50984824599658,0.7660329627810825,-6.88774824599659,oscillation,0.05
140,11.161102011098457,11.524623736034991,221.6221,227.59017104932207,228.4422014147592,0.8520303654371446,-6.820101414759222,oscillation,0.05
141,11.079982257412905,11.490635688813194,221.6221,227.40004075273822,228.36253946800764,0.9624987152694189,-6.740439468007651,oscillation,0.05
142,11.463888987452336,11.451896223546465,221.6221,228.2998499499638,228.27174104116312,-0.02810890880067518,-6.649641041163136,oscillation,0.05
143,11.177910152743465,11.408832619101975,221.6221,227.62956634838037,228.1708076000097,0.5412412516293443,-6.54870760000972,oscillation,0.05
144,10.999487318759671,11.361919847655958,221.6221,227.21137491162898,228.06085239497804,0.8494774833490624,-6.438752394978053,oscillation,0.05
145,10.690189062235415,11.311675335964344,221.6221,226.48643472660598,227.94308818249448,1.4566534558884996,-6.320988182494489,oscillation,0.05
146,11.085066008096021,11.258653258378523,221.6221,227.4119561615163,227.8188138488229,0.4068576873066263,-6.196713848822924,oscillation,0.05
147,10.860654247773043,11.203438424551658,221.6221,226.88597484859827,227.68940008393378,0.80342523533551,-6.067300083933787,oscillation,0.05
148,11.1074026505504,11.146639829251397,221.6221,227.46430928466538,227.55627426341096,0.09196497874557963,-5.934174263410966,oscillation,0.05
149,11.0098023150562,11.088883935421665,221.6221,227.2355514311082,227.42090470514194,0.18535327403373003,-5.798804705141947,oscillation,0.05
150,11.099717968261132,11.030807764578336,221.6221,227.44629775410198,227.28478447443092,-0.16151327967105544,-5.662684474430932,oscillation,0.05
151,11.212829010300112,10.973051870748604,221.6221,227.71140994925423,227.1494149161618,-0.5619950330924439,-5.527314916161799,oscillation,0.05
152,11.079295398228378,10.91625327544834,221.6221,227.39843087678884,227.0162890956389,-0.3821417811499259,-5.394189095638922,oscillation,0.05
153,11.070504432372735,10.861038441621478,221.6221,227.37782641401066,226.88687533074977,-0.49095108326088166,-5.264775330749785,oscillation,0.05
154,11.341967113925417,10.808016364035657,221.6221,228.01408673051918,226.7626009970782,-1.2514857334409726,-5.14050099707822,oscillation,0.05
155,11.39904250759869,10.757771852344042,221.6221,228.1478613172717,226.64483678459447,-1.503024532677216,-5.0227367845944855,oscillation,0.05
156,11.170574039137655,10.710859080898024,221.6221,227.61237180090876,226.53488157956298,-1.0774902213457835,-4.9127815795629886,oscillation,0.05
157,10.59879027485708,10.667795476453536,221.6221,226.27221220049955,226.43394813840945,0.1617359379098957,-4.811848138409459,oscillation,0.05
158,11.147795085735853,10.629056011186806,221.6221,227.55898197944862,226.34314971156505,-1.2158322678835702,-4.721049711565058,oscillation,0.05
159,10.791289342241852,10.59506796396501,221.6221,226.72339582854477,226.26666586490632,-0.45672996363845186,-4.644565864906326,oscillation,0.05
160,10.806725593343609,10.566206207652668,221.6221,226.7595756598039,226.2242513761314,-0.5353242836724803,-4.602151376131417,oscillation,0.05
161,10.877504885000336,10.542789074432656,221.6221,226.92546974975465,226.18983816428982,-0.7356315854648301,-4.567738164289835,oscillation,0.05
162,10.58318590854442,10.5250748447455,221.6221,226.24920430432763,226.1638057916204,-0.0853985127072292,-4.541705791620416,oscillation,0.05
163,11.447559460791993,10.513258898572353,221.6221,228.2615764394323,226.14644138347768,-2.1151350559546245,-4.52434138347769,oscillation,0.05
164,10.849033340979512,10.507471560481731,221.6221,226.85873750683078,226.13793646146877,-0.7208010453620091,-4.51583646146878,oscillation,0.05
165,11.046918976237102,10.50777666220818,221.6221,227.32254629336933,226.13838483105548,-1.1841614623138526,-4.516284831055486,oscillation,0.05
166,11.034298219472179,10.514170838616968,221.6221,227.29296548083215,226.14778154692328,-1.1451839339088679,-4.525681546923295,oscillation,0.05
167,11.152583320143124,10.526583564820006,221.6221,227.57020475055668,226.16602296752512,-1.4041817830315608,-4.543922967525134,oscillation,0.05
168,11.226626764028316,10.544877934033632,221.6221,227.74374943365024,226.19290789820144,-1.5508415354487965,-4.570807898201451,oscillation,0.05
169,11.056280024907432,10.568852167598807,221.6221,227.3444869290243,226.2281398102661,-1.116347118758199,-4.606039810266111,oscillation,0.05
170,11.31939267419034,10.598241840508924,221.6221,227.96117625277446,226.27133011158566,-1.6898461411888093,-4.649230111585666,oscillation,0.05
171,11.04392004249309,10.63272279789862,221.6221,227.3155173252536,226.35174400843306,-0.96377331682055,-4.72964400843307,oscillation,0.05
172,11.348810067324582,10.671914730326057,221.6221,228.03012539804683,226.44360293794864,-1.5865224600981946,-4.821502937948651,oscillation,0.05
173,11.026429817129491,10.715385368414909,221.6221,227.2745233430905,226.54549039367913,-0.7290329494113621,-4.923390393679142,oscillation,0.05
174,11.037246438122795,10.76265525059104,221.6221,227.29987558177532,226.65628260284285,-0.6435929789324746,-5.034182602842861,oscillation,0.05
175,10.867390463895523,10.813203011327877,221.6221,226.90176334290464,226.77475757723448,-0.12700576567016242,-5.152657577234493,oscillation,0.05
176,10.900201963224674,10.86647113157354,221.6221,226.97866767033895,226.8996085912063,-0.07905907913266219,-5.277508591206299,oscillation,0.05
177,10.810467850368706,10.92187208793506,221.6221,226.7683468456833,227.02945859426313,0.2611117485798218,-5.407358594263144,oscillation,0.05
178,10.88799541416671,10.978794832797,221.6221,226.9500576871078,227.16287539931074,0.21281771220293422,-5.540775399310746,oscillation,0.05
179,11.275173785276527,11.036611533901638,221.6221,227.85753502999188,227.29838747903352,-0.5591475509583574,-5.676287479033533,oscillation,0.05
180,11.018273004187881,11.094684499056227,221.6221,227.2554052221234,227.43450019617921,0.17909497405582897,-5.812400196179226,oscillation,0.05
181,11.290478697262383,11.152373209590877,221.6221,227.8934070256878,227.5697122887358,-0.3236947369520067,-5.947612288735797,oscillation,0.05
182,11.229444380810579,11.20904138499122,221.6221,227.75035342700738,227.70253242817438,-0.047820998833003614,-6.08043242817439,oscillation,0.05
183,10.646941794129738,11.264064000786135,221.6221,226.38507081044753,227.83149566813273,1.4464248576852015,-6.209395668132743,oscillation,0.05
184,10.979032138804602,11.316834182286357,221.6221,227.16343160244935,227.95517960211401,0.7917479996646648,-6.333079602114026,oscillation,0.05
185,11.249515072648444,11.366769898139182,221.6221,227.79739556432162,228.07222005199048,0.2748244876688659,-6.4501200519904955,oscillation,0.05
186,10.931266196137225,11.413320379872347,221.6221,227.05147671558973,228.1813261142742,1.1298493986844846,-6.5592261142742245,oscillation,0.05
187,11.017879825412027,11.455972196622405,221.6221,227.25448368089735,228.2812943982011,1.0268107173037606,-6.659194398201123,oscillation,0.05
188,11.07751348950607,11.494254918046071,221.6221,227.39425439919296,228.37102229859062,0.9767678993976574,-6.748922298590628,oscillation,0.05
189,10.701896317876104,11.5277463029552,221.6221,226.5138744547366,228.44952015708344,1.9356457023468465,-6.827420157083452,oscillation,0.05
